-0.08274,-0.045806,51
0.073094,0.033392,38
0.13738,0.015679,22
-0.062621,-0.039029,64
-0.053166,-0.011479,52
0.013339,0.062602,26
0.0078434,0.071484,71
0.11156,0.13696,49
0.096645,0.050646,61
0.10438,0.02793,36
-0.0066532,-0.018646,72
-0.04949,-0.02369,57
0.041015,0.10982,63
-0.022911,0.0074856,77
0.048498,0.072272,14
-0.049994,0.043785,81
0.021374,0.083788,25
0.080285,0.094579,61
0.13962,0.15147,98
0.14371,0.095654,69
0.0090777,-0.016508,77
0.11179,0.08216,41
-0.14266,-0.079675,28
0.16944,0.23235,4
0.0053929,0.052732,44
0.066246,0.1176,75
-0.0056432,0.04386,97
0.035057,0.14101,36
-0.043197,0.077318,60
0.021247,0.082982,47
0.013624,0.080311,80
0.087744,0.087713,84
0.17573,0.1349,23
0.18972,0.11697,50
0.20694,0.074993,29
0.012787,-0.020325,102
0.10907,0.066344,21
-0.07304,-0.069299,39
0.050278,0.094802,15
0.090217,-0.013327,101
-0.0015676,0.14286,17
0.30402,0.25082,18
-0.0091958,0.07095,43
0.0062151,0.078724,49
0.0071763,0.11299,115
-0.0051841,0.11153,22
-0.076115,0.068214,71
-0.029173,0.072585,45
0.061026,0.11201,83
0.053793,0.11532,41
0.09785,0.1177,48
0.050351,0.0037174,29
0.15028,0.032346,60
0.22528,0.067575,13
0.082426,0.009437,79
0.10954,0.014419,20
-0.053794,-0.023935,48
0.04805,0.085048,52
0.11839,0.037214,114
0.083491,0.10581,45
0.11438,0.14375,59
-0.1289,-0.0036243,29
-0.007908,0.094381,38
-0.1028,0.031224,53
0.10245,0.15356,14
-0.034692,0.09824,91
0.013528,0.14606,33
-0.11703,0.050038,79
-0.1416,-0.10806,24
0.0662,0.10688,82
-0.13439,-0.11306,11
0.027781,-0.2096,19
0.061414,0.031769,47
0.075558,-0.012866,50
0.05722,-0.10064,36
0.1197,-0.013957,40
0.042286,-0.13306,38
0.075678,0.011767,64
0.10957,0.0012877,50
0.14208,0.063515,53
0.059727,0.022354,60
0.19727,0.050574,27
-0.027108,-0.018623,32
0.17167,0.055152,27
-0.024653,0.061705,36
0.093779,0.095337,56
-0.17106,-0.012566,17
-0.052879,0.036435,48
-0.20632,-0.052115,56
0.06666,0.14987,23
0.0043932,0.086749,60
0.021795,0.20296,43
-0.15812,-0.017044,58
-0.04754,-0.088294,22
-0.019208,0.064545,45
0.11182,0.079143,7
-5.2747,-3.3582,0
-0.059178,-0.11381,29
0.018237,-0.081029,37
0.16329,0.091432,38
0.14378,0.01743,28
0.2027,0.022857,54
0.086056,-0.14847,32
-0.0075747,-0.12964,62
0.11026,-0.014506,13
0.16524,0.032657,84
0.097175,0.024004,51
-0.085712,-0.10334,58
-0.28772,-0.22222,21
-0.011082,-0.028642,95
-0.25414,-0.16349,20
-0.27777,-0.18754,46
-0.20861,-0.063429,28
0.057396,0.011435,30
0.0095432,0.103,63
0.11774,0.27272,23
-0.026001,0.13551,42
-0.2005,-0.054625,37
-0.063738,0.14524,62
-0.070548,0.16005,52
0.034661,0.23674,78
-0.19944,-0.08522,28
-0.15952,-0.012134,26
0.054077,0.08458,37
0.1448,0.17164,87
0.09852,0.046022,50
0.08474,-0.065777,66
0.055096,-0.12781,33
-5.1657,-3.0952,0
0.0092151,-0.17439,26
0.13581,0.11265,64
0.22616,0.086651,24
0.22694,0.017833,59
0.14335,-0.10304,22
-0.025661,-0.15437,69
-0.18566,-0.22592,6
0.19561,0.058742,78
0.18934,0.030038,51
-0.060802,-0.10947,52
-0.20967,-0.11734,16
0.093823,-0.01936,79
0.16214,0.013809,5
-0.18279,-0.2522,33
-0.13932,-0.15119,11
0.020684,-0.022609,52
-0.1631,-0.11714,83
0.0023073,-0.019823,80
-0.012103,0.024641,117
-0.034341,-0.00077882,62
-0.13622,0.008508,66
-0.15737,0.033486,25
-0.066895,0.11901,67
-0.059331,0.17912,29
0.00054106,0.1498,121
-0.13571,0.10206,6
-0.16214,0.031001,46
-0.000908,0.11966,55
0.096683,0.11033,102
0.1685,0.13903,16
0.02615,-0.027247,42
0.13002,0.0073658,48
0.21843,0.046011,47
0.31833,0.087805,34
0.18349,0.074983,25
0.15626,-0.095129,55
0.15949,0.066423,78
0.18766,-0.0065145,39
0.2181,-0.030753,36
0.07807,-0.095344,26
0.081501,-0.054546,51
-0.09333,-0.26103,13
0.21434,0.060077,39
0.11455,-0.036923,61
-0.11882,-0.17064,37
-0.068745,-0.12663,27
0.024028,-0.063772,74
0.17557,0.061969,26
0.010798,-0.03394,53
0.056597,0.016764,32
0.11609,-0.025195,23
0.043299,0.11723,78
-0.044179,-0.027248,41
-0.26762,-0.13693,40
-0.1171,-0.026404,42
-0.052378,0.052363,51
-0.0082051,0.093285,83
-0.19365,-0.015304,81
-0.043291,0.11871,20
-0.18734,0.080213,38
-0.12669,0.1714,55
-0.00031826,0.10746,82
-0.060993,0.0745,4
-0.019923,0.091904,83
0.060287,0.16278,46
0.00038549,0.15289,54
0.0251,0.14378,7
-0.027561,-0.036879,23
-0.011059,-0.056343,28
0.068206,-0.038714,4
0.38073,0.061567,15
