0.051037,0.7854,-0.30371,0,-0.35514,0
0.051037,2.3562,-0.15143,0,-0.16937,0
0.051037,3.927,-0.099915,0,0.004798,0
0.051037,5.4978,-0.17588,0,-0.087408,0
0.10211,0.3927,-0.58601,-0.45649,-0.67444,-0.48856
0.10211,1.1781,-0.47526,-0.48856,-0.80607,-0.45649
0.10211,1.9635,-0.75505,-0.48856,-0.85232,-0.45649
0.10211,2.7489,-0.7699,-0.45649,-0.59142,-0.48856
0.10211,3.5343,-0.55072,-0.45649,-0.46604,-0.48856
0.10211,4.3197,-0.59065,-0.48856,-0.34592,-0.45649
0.10211,5.1051,-0.51116,-0.48856,-0.29536,-0.45649
0.10211,5.8905,-0.26281,-0.45649,-0.39803,-0.48856
0.15324,0.2618,-0.8281,-1.2349,-1.3617,-1.3235
0.15324,0.7854,-1.1975,-1.2617,-1.4832,-1.2617
0.15324,1.309,-1.2885,-1.3235,-1.6886,-1.2349
0.15324,1.8326,-1.399,-1.3235,-1.6063,-1.2349
0.15324,2.3562,-1.3446,-1.2617,-1.2596,-1.2617
0.15324,2.8798,-1.3423,-1.2349,-1.1666,-1.3235
0.15324,3.4034,-1.7104,-1.2349,-1.3026,-1.3235
0.15324,3.927,-1.4541,-1.2617,-1.089,-1.2617
0.15324,4.4506,-1.5791,-1.3235,-1.0792,-1.2349
0.15324,4.9742,-1.2483,-1.3235,-0.90349,-1.2349
0.15324,5.4978,-1.1419,-1.2617,-1.1778,-1.2617
0.15324,6.0214,-1.0933,-1.2349,-1.3346,-1.3235
0.20448,0.19635,-2.1921,-2.369,-2.7005,-2.538
0.20448,0.58905,-1.9711,-2.3627,-2.6048,-2.4326
0.20448,0.98175,-2.2151,-2.4326,-2.7298,-2.3627
0.20448,1.3744,-2.2581,-2.538,-2.7015,-2.369
0.20448,1.7671,-2.4931,-2.538,-2.7238,-2.369
0.20448,2.1598,-2.4329,-2.4326,-2.5577,-2.3627
0.20448,2.5525,-2.2672,-2.3627,-2.2626,-2.4326
0.20448,2.9452,-2.5485,-2.369,-2.4312,-2.538
0.20448,3.3379,-2.0769,-2.369,-1.9765,-2.538
0.20448,3.7306,-2.5561,-2.3627,-2.128,-2.4326
0.20448,4.1233,-2.2971,-2.4326,-1.8411,-2.3627
0.20448,4.516,-2.7309,-2.538,-1.9067,-2.369
0.20448,4.9087,-2.4012,-2.538,-1.9197,-2.369
0.20448,5.3014,-2.3645,-2.4326,-2.1415,-2.3627
0.20448,5.6941,-2.2429,-2.3627,-2.433,-2.4326
0.20448,6.0868,-2.1443,-2.369,-2.6438,-2.538
0.25585,0.15708,-3.4668,-3.9165,-4.3545,-4.1899
0.25585,0.47124,-3.3925,-3.8502,-4.2788,-4.0191
0.25585,0.7854,-3.4608,-3.8621,-4.1174,-3.8621
0.25585,1.0996,-3.7533,-4.0191,-4.3976,-3.8502
0.25585,1.4137,-3.6991,-4.1899,-4.1411,-3.9165
0.25585,1.7279,-3.6343,-4.1899,-3.901,-3.9165
0.25585,2.042,-3.8915,-4.0191,-4.1434,-3.8502
0.25585,2.3562,-3.8738,-3.8621,-3.9217,-3.8621
0.25585,2.6704,-3.9264,-3.8502,-3.8736,-4.0191
0.25585,2.9845,-3.8251,-3.9165,-3.7324,-4.1899
0.25585,3.2987,-3.5959,-3.9165,-3.4607,-4.1899
0.25585,3.6128,-3.8307,-3.8502,-3.3944,-4.0191
0.25585,3.927,-3.9179,-3.8621,-3.4397,-3.8621
0.25585,4.2412,-3.822,-4.0191,-3.1501,-3.8502
