0.026 0.785 -9.88938 -9.76674
0.026 2.356 -9.89381 -9.77122
0.026 3.927 -13.52176 -13.27665
0.026 5.498 -13.51660 -13.27126
0.051 0.393 -9.88966 -9.78298
0.051 1.178 -7.76218 -7.68399
0.051 1.964 -7.76670 -7.68853
0.051 2.749 -9.90115 -9.79473
0.051 3.534 -13.83559 -13.59579
0.051 4.320 -17.98921 -17.50564
0.051 5.105 -17.98189 -17.49799
0.051 5.891 -13.82190 -13.58156
0.077 0.262 -10.08119 -9.99704
0.077 0.785 -7.49033 -7.43539
0.077 1.309 -6.20213 -6.13972
0.077 1.833 -6.20651 -6.14404
0.077 2.356 -7.50266 -7.44782
0.077 2.880 -10.09939 -10.01562
0.077 3.403 -14.09124 -13.87217
0.077 3.927 -19.62944 -19.05775
0.077 4.451 -25.56688 -24.30658
0.077 4.974 -25.55331 -24.29310
0.077 5.498 -19.60696 -19.03415
0.077 6.021 -14.06958 -13.84960
0.102 0.196 -10.37977 -10.32674
0.102 0.589 -7.61994 -7.59585
0.102 0.982 -5.83650 -5.79432
0.102 1.374 -4.95421 -4.89010
0.102 1.767 -4.95853 -4.89432
0.102 2.160 -5.84893 -5.80664
0.102 2.553 -7.63922 -7.61522
0.102 2.945 -10.40417 -10.35166
0.102 3.338 -14.41461 -14.22642
0.102 3.731 -20.51904 -19.92882
0.102 4.123 -32.44343 -29.75431
0.102 4.516 -37.46790 -39.31008
0.102 4.909 -37.50214 -39.35148
0.102 5.301 -32.37331 -29.69699
0.102 5.694 -20.48387 -19.89162
0.102 6.087 -14.38625 -14.19667
0.128 0.157 -10.77830 -10.76529
0.128 0.471 -7.93770 -7.95342
0.128 0.785 -5.91318 -5.90398
0.128 1.100 -4.58955 -4.53897
0.128 1.414 -3.93416 -3.85459
0.128 1.728 -3.93851 -3.85886
0.128 2.042 -4.60225 -4.55142
0.128 2.356 -5.93334 -5.92399
0.128 2.670 -7.96444 -7.98027
0.128 2.985 -10.80971 -10.79748
0.128 3.299 -14.82749 -14.67946
0.128 3.613 -21.20299 -20.62787
0.128 3.927 -39.67262 -34.20050
0.128 4.241 -27.13666 -28.46852
0.128 4.555 -22.83746 -23.65118
0.128 4.870 -22.84242 -23.65945
0.128 5.184 -27.16462 -28.51477
0.128 5.498 -39.41957 -34.06742
0.128 5.812 -21.15432 -20.57649
0.128 6.126 -14.78987 -14.64000
0.153 0.131 -11.27973 -11.31604
0.153 0.393 -8.39262 -8.45746
0.153 0.654 -6.22937 -6.26490
0.153 0.916 -4.65116 -4.63152
0.153 1.178 -3.61201 -3.53797
0.153 1.440 -3.09701 -2.99001
0.153 1.702 -3.10133 -2.99426
0.153 1.964 -3.62483 -3.55051
0.153 2.225 -4.67184 -4.65180
0.153 2.487 -6.25684 -6.29210
0.153 2.749 -8.42603 -8.49090
0.153 3.011 -11.31840 -11.35572
0.153 3.272 -15.33755 -15.23913
0.153 3.534 -21.85891 -21.31942
0.153 3.796 -49.38633 -37.70382
0.153 4.058 -24.69131 -25.69479
0.153 4.320 -19.89629 -20.43291
0.153 4.582 -18.18660 -18.58183
0.153 4.843 -18.18842 -18.58532
0.153 5.105 -19.90421 -20.44674
0.153 5.367 -24.72078 -25.74329
0.153 5.629 -48.41164 -37.50155
0.153 5.891 -21.79340 -21.25051
0.153 6.152 -15.29157 -15.19082
0.179 0.112 -11.89080 -11.98606
0.179 0.337 -8.97283 -9.09628
0.179 0.561 -6.71847 -6.80957
0.179 0.785 -4.97468 -5.00087
0.179 1.010 -3.68719 -3.63952
0.179 1.234 -2.83684 -2.72680
0.179 1.459 -2.41565 -2.27024
0.179 1.683 -2.41999 -2.27450
0.179 1.907 -2.84979 -2.73946
0.179 2.132 -3.70823 -3.66011
0.179 2.356 -5.00314 -5.02876
0.179 2.581 -6.75331 -6.84402
0.179 2.805 -9.01337 -9.13696
0.179 3.029 -11.93686 -12.03337
0.179 3.254 -15.95515 -15.91611
0.179 3.478 -22.55551 -22.06724
0.179 3.703 -64.35245 -40.24208
0.179 3.927 -23.87094 -24.77487
0.179 4.151 -18.85443 -19.31097
0.179 4.376 -16.56073 -16.83169
0.179 4.600 -15.59161 -15.78175
0.179 4.825 -15.59232 -15.78361
0.179 5.049 -16.56381 -16.83842
0.179 5.273 -18.86360 -19.32801
0.179 5.498 -23.90331 -24.82868
0.179 5.722 -63.51851 -40.02077
0.179 5.947 -22.47566 -21.98305
0.179 6.171 -15.90039 -15.85853
0.204 0.098 -12.62081 -12.78519
0.204 0.295 -9.67979 -9.87188
0.204 0.491 -7.35828 -7.51566
0.204 0.687 -5.49499 -5.58020
0.204 0.884 -4.03081 -4.02731
0.204 1.080 -2.94455 -2.85488
0.204 1.276 -2.22671 -2.06938
0.204 1.473 -1.87186 -1.67749
0.204 1.669 -1.87624 -1.68177
0.204 1.865 -2.23984 -2.08213
0.204 2.062 -2.96598 -2.87571
0.204 2.258 -4.05980 -4.05565
0.204 2.454 -5.53131 -5.61589
0.204 2.651 -7.40035 -7.55737
0.204 2.847 -9.72805 -9.92048
0.204 3.043 -12.67436 -12.84025
0.204 3.240 -16.69064 -16.72135
0.204 3.436 -23.32943 -22.90611
0.204 3.632 -52.05792 -41.97128
0.204 3.829 -23.76321 -24.64928
0.204 4.025 -18.60355 -19.04897
0.204 4.221 -16.00396 -16.23592
0.204 4.418 -14.59288 -14.69721
0.204 4.614 -13.95933 -14.00149
0.204 4.811 -13.95953 -14.00258
0.204 5.007 -14.59387 -14.70090
0.204 5.203 -16.00728 -16.24447
0.204 5.400 -18.61363 -19.06891
0.204 5.596 -23.79918 -24.70980
0.204 5.792 -53.62001 -41.79640
0.204 5.989 -23.23471 -22.80590
0.204 6.185 -16.62660 -16.65381
0.230 0.087 -13.48323 -13.72768
0.230 0.262 -10.52227 -10.79390
0.230 0.436 -8.14546 -8.38018
0.230 0.611 -6.18662 -6.34338
0.230 0.785 -4.58481 -4.64126
0.230 0.960 -3.31843 -3.26926
0.230 1.135 -2.37820 -2.23396
0.230 1.309 -1.75810 -1.54257
0.230 1.484 -1.45206 -1.19823
0.230 1.658 -1.45650 -1.20257
0.230 1.833 -1.77145 -1.55548
0.230 2.007 -2.40009 -2.25518
0.230 2.182 -3.34861 -3.29863
0.230 2.356 -4.62229 -4.67783
0.230 2.531 -6.23056 -6.38660
0.230 2.705 -8.19618 -8.43058
0.230 2.880 -10.57831 -10.85044
0.230 3.054 -13.54511 -13.79149
0.230 3.229 -17.55757 -17.66922
0.230 3.403 -24.21289 -23.86747
0.230 3.578 -49.28014 -43.21037
0.230 3.752 -24.07093 -24.98070
0.230 3.927 -18.80330 -19.27495
0.230 4.101 -16.00318 -16.24060
0.230 4.276 -14.33035 -14.40569
0.230 4.451 -13.36152 -13.32877
0.230 4.625 -12.91385 -12.82649
0.230 4.800 -12.91384 -12.82715
0.230 4.974 -13.36154 -13.33092
0.230 5.149 -14.33116 -14.41041
0.230 5.323 -16.00650 -16.25066
0.230 5.498 -18.81429 -19.29795
0.230 5.672 -24.11099 -25.04912
0.230 5.847 -50.57147 -43.11535
0.230 6.021 -24.10252 -23.75006
0.230 6.196 -17.48351 -17.59079
0.256 0.079 -14.49567 -14.83221
0.256 0.236 -11.51553 -11.87856
0.256 0.393 -9.08788 -9.41185
0.256 0.550 -7.04497 -7.28595
0.256 0.707 -5.32592 -5.45685
0.256 0.864 -3.91045 -3.91979
0.256 1.021 -2.79094 -2.68215
0.256 1.178 -1.96141 -1.75098
0.256 1.335 -1.41540 -1.13080
0.256 1.492 -1.14668 -0.82286
0.256 1.649 -1.15119 -0.82725
0.256 1.806 -1.42892 -1.14390
0.256 1.964 -1.98375 -1.77255
0.256 2.121 -2.82169 -2.71194
0.256 2.278 -3.94942 -3.95779
0.256 2.435 -5.37160 -5.50146
0.256 2.592 -7.09756 -7.33769
0.256 2.749 -9.14676 -9.47051
0.256 2.906 -11.58075 -11.94456
0.256 3.063 -14.56848 -14.90755
0.256 3.220 -18.57155 -18.77656
0.256 3.377 -25.22458 -24.97100
0.256 3.534 -48.50115 -44.27085
0.256 3.691 -24.68769 -25.64900
0.256 3.849 -19.31769 -19.84116
0.256 4.005 -16.36518 -16.63803
0.256 4.163 -14.50839 -14.59186
0.256 4.320 -13.32365 -13.26202
0.256 4.477 -12.61640 -12.45460
0.256 4.634 -12.28555 -12.07262
0.256 4.791 -12.28533 -12.07293
0.256 4.948 -12.61593 -12.45592
0.256 5.105 -13.32324 -13.26479
0.256 5.262 -14.50877 -14.59748
0.256 5.419 -16.36700 -16.64791
0.256 5.576 -19.32973 -19.86739
0.256 5.733 -24.73263 -25.72665
0.256 5.891 -49.76620 -44.26006
0.256 6.048 -25.09744 -24.83487
0.256 6.205 -18.48959 -18.68899
0.282 0.071 -15.68400 -16.12640
0.282 0.214 -12.68293 -13.15083
0.282 0.357 -10.20333 -10.62972
0.282 0.500 -8.07860 -8.41715
0.282 0.643 -6.25014 -6.47007
0.282 0.785 -4.70049 -4.78513
0.282 0.928 -3.42455 -3.37116
0.282 1.071 -2.41833 -2.23690
0.282 1.214 -1.67536 -1.38722
0.282 1.357 -1.18782 -0.82315
0.282 1.499 -0.94849 -0.54382
0.282 1.642 -0.95308 -0.54829
0.282 1.785 -1.20159 -0.83649
0.282 1.928 -1.69817 -1.40922
0.282 2.071 -2.44986 -2.26748
0.282 2.213 -3.46449 -3.40993
0.282 2.356 -4.74832 -4.83170
0.282 2.499 -6.30545 -6.52413
0.282 2.642 -8.14073 -8.47849
0.282 2.785 -10.27175 -10.69817
0.282 2.927 -12.75776 -13.22685
0.282 3.070 -15.76658 -16.21231
0.282 3.213 -19.76494 -20.07723
0.282 3.356 -26.39951 -26.25240
0.282 3.499 -48.71851 -45.32287
0.282 3.641 -25.56542 -26.59920
0.282 3.784 -20.09351 -20.68929
0.282 3.927 -17.00536 -17.33675
0.282 4.070 -14.99904 -15.11879
0.282 4.213 -13.65301 -13.59674
0.282 4.355 -12.76959 -12.57428
0.282 4.498 -12.23613 -11.94398
0.282 4.641 -11.98549 -11.64373
0.282 4.784 -11.98530 -11.64399
0.282 4.927 -12.23551 -11.94479
0.282 5.069 -12.76872 -12.57595
0.282 5.212 -13.65207 -13.60001
0.282 5.355 -14.99894 -15.12519
0.282 5.498 -17.00846 -17.34987
0.282 5.641 -20.10656 -20.71923
0.282 5.783 -25.61575 -26.68763
0.282 5.926 -50.07191 -45.38111
0.282 6.069 -26.25400 -26.09531
0.282 6.212 -19.66758 -19.97300
0.307 0.065 -17.08503 -17.64939
0.307 0.196 -14.05877 -14.64724
0.307 0.327 -11.52057 -12.06455
0.307 0.458 -9.30820 -9.75910
0.307 0.589 -7.36799 -7.69197
0.307 0.720 -5.68697 -5.86330
0.307 0.851 -4.26386 -4.28465
0.307 0.982 -3.09707 -2.96652
0.307 1.113 -2.18161 -1.91509
0.307 1.244 -1.50816 -1.13063
