0.026 0.785 -20.25628 -27.72699
0.026 2.356 -20.27221 -27.85694
0.026 3.927 -33.83427 -24.00877
0.026 5.498 -33.73417 -24.13303
0.051 0.393 -20.09793 -27.09901
0.051 1.178 -15.60269 -19.21025
0.051 1.964 -15.61187 -19.26691
0.051 2.749 -20.13853 -27.41998
0.051 3.534 -32.85684 -23.53878
0.051 4.320 -18.90536 -16.30010
0.051 5.105 -18.90636 -16.35131
0.051 5.891 -32.67861 -23.84384
0.077 0.262 -20.36223 -27.25801
0.077 0.785 -15.14693 -18.36708
0.077 1.309 -13.37524 -15.80667
0.077 1.833 -13.38200 -15.84189
0.077 2.356 -15.17039 -18.50573
0.077 2.880 -20.42686 -27.76255
0.077 3.403 -33.03711 -23.70871
0.077 3.927 -17.41214 -15.35452
0.077 4.451 -13.42217 -12.34316
0.077 4.974 -13.42175 -12.37382
0.077 5.498 -17.41418 -15.47893
0.077 6.021 -32.77847 -24.19157
0.102 0.196 -20.81691 -27.67500
0.102 0.589 -15.34916 -18.48423
0.102 0.982 -13.05476 -15.18688
0.102 1.374 -12.15286 -13.88640
0.102 1.767 -12.15815 -13.91024
0.102 2.160 -13.07234 -15.27339
0.102 2.553 -15.38548 -18.69571
0.102 2.945 -20.90540 -28.36720
0.102 3.338 -33.54580 -24.10852
0.102 3.731 -17.27854 -15.41755
0.102 4.123 -12.13677 -11.40912
0.102 4.516 -10.01932 -9.62062
0.102 4.909 -10.01743 -9.64041
0.102 5.301 -12.13350 -11.48293
0.102 5.694 -17.28067 -15.60681
0.102 6.087 -33.19777 -24.77712
0.128 0.157 -21.44594 -28.30084
0.128 0.471 -15.85064 -19.00158
0.128 0.785 -13.31707 -15.37350
0.128 1.100 -12.07597 -13.54429
0.128 1.414 -11.57261 -12.75785
0.128 1.728 -11.57709 -12.77447
0.128 2.042 -12.09037 -13.60295
0.128 2.356 -13.34517 -15.50503
0.128 2.670 -15.90152 -19.29020
0.128 2.985 -21.56226 -29.19640
0.128 3.299 -34.27177 -24.69289
0.128 3.613 -17.62752 -15.89808
0.128 3.927 -11.96529 -11.42700
0.128 4.241 -8.95568 -8.80755
0.128 4.555 -7.57517 -7.56307
0.128 4.870 -7.57259 -7.57628
0.128 5.184 -8.94981 -8.85555
0.128 5.498 -11.96133 -11.53986
0.128 5.812 -17.63225 -16.15696
0.128 6.126 -33.85623 -25.57582
0.153 0.131 -22.26195 -29.13920
0.153 0.393 -16.58174 -19.80801
0.153 0.654 -13.90220 -15.98806
0.153 0.916 -12.48097 -13.86727
0.153 1.178 -11.77506 -12.69198
0.153 1.440 -11.49849 -12.17253
0.153 1.702 -11.50227 -12.18348
0.153 1.964 -11.78716 -12.73088
0.153 2.225 -12.50413 -13.95454
0.153 2.487 -13.94072 -16.16506
0.153 2.749 -16.64704 -20.18013
0.153 3.011 -22.40955 -30.25482
0.153 3.272 -35.22556 -25.47314
0.153 3.534 -18.27226 -16.67033
0.153 3.796 -12.31814 -11.93957
0.153 4.058 -8.81903 -8.84504
0.153 4.320 -6.71714 -6.89266
0.153 4.582 -5.71226 -5.94157
0.153 4.843 -5.70892 -5.94981
0.153 5.105 -6.70850 -6.92288
0.153 5.367 -8.80878 -8.91624
0.153 5.629 -12.31300 -12.09283
0.153 5.891 -18.28448 -17.01048
0.153 6.152 -34.74379 -26.59933
0.179 0.112 -23.29189 -30.21414
0.179 0.337 -17.54016 -20.89218
0.179 0.561 -14.74720 -16.93501
0.179 0.785 -13.19624 -14.60954
0.179 1.010 -12.37656 -13.18649
0.179 1.234 -12.00837 -12.38105
0.179 1.459 -11.88700 -12.02599
0.179 1.683 -11.89025 -12.03210
0.179 1.907 -12.01904 -12.40418
0.179 2.132 -12.39583 -13.24191
0.179 2.356 -13.22801 -14.72525
0.179 2.581 -14.79747 -17.16303
0.179 2.805 -17.62256 -21.36205
0.179 3.029 -23.47526 -31.56856
0.179 3.254 -36.41021 -26.46318
0.179 3.478 -19.17286 -17.71681
0.179 3.703 -13.02395 -12.81616
0.179 3.927 -9.20636 -9.40273
0.179 4.151 -6.65140 -6.98342
0.179 4.376 -5.04276 -5.41437
0.179 4.600 -4.25909 -4.64223
0.179 4.825 -4.25507 -4.64655
0.179 5.049 -5.03191 -5.43142
0.179 5.273 -6.63614 -7.02684
0.179 5.498 -9.19225 -9.49872
0.179 5.722 -13.01923 -13.01639
0.179 5.947 -19.19360 -18.15190
0.179 6.171 -35.88805 -27.88208
0.204 0.098 -24.57792 -31.56311
0.204 0.295 -18.75281 -22.28187
0.204 0.491 -15.85220 -18.20669
0.204 0.687 -14.17910 -15.70521
0.204 0.884 -13.26207 -14.08136
0.204 1.080 -12.85357 -13.07451
0.204 1.276 -12.74543 -12.51871
0.204 1.473 -12.75156 -12.28130
0.204 1.669 -12.75439 -12.28288
0.204 1.865 -12.75447 -12.52765
0.204 2.062 -12.87067 -13.10326
0.204 2.258 -13.28935 -14.15097
0.204 2.454 -14.22159 -15.85263
0.204 2.651 -15.91592 -18.49472
0.204 2.847 -18.85629 -22.87192
0.204 3.043 -24.80343 -33.17257
0.204 3.240 -37.84170 -27.68969
0.204 3.436 -20.33843 -19.05871
0.204 3.632 -14.03742 -14.03057
0.204 3.829 -9.97925 -10.37135
0.204 4.025 -7.09428 -7.59893
0.204 4.221 -5.06688 -5.57791
0.204 4.418 -3.76368 -4.25479
0.204 4.614 -3.12249 -3.60139
0.204 4.811 -3.11784 -3.60243
0.204 5.007 -3.75053 -4.26112
0.204 5.203 -5.04809 -5.59980
0.204 5.400 -7.07318 -7.65516
0.204 5.596 -9.96273 -10.49646
0.204 5.792 -14.03533 -14.28860
0.204 5.989 -20.37308 -19.61378
0.204 6.185 -37.34021 -29.47825
0.230 0.087 -26.18539 -33.24362
0.230 0.262 -20.27211 -24.03897
0.230 0.436 -17.25126 -19.84205
0.230 0.611 -15.44215 -17.16007
0.230 0.785 -14.41128 -15.33664
0.230 0.960 -13.95544 -14.14525
0.230 1.135 -13.89618 -13.44142
0.230 1.309 -14.03331 -13.08543
0.230 1.484 -14.16842 -12.94633
0.230 1.658 -14.17092 -12.94329
0.230 1.833 -14.04133 -13.08013
0.230 2.007 -13.91139 -13.44488
0.230 2.182 -13.97962 -14.17637
0.230 2.356 -14.44783 -15.42274
0.230 2.531 -15.49610 -17.34498
0.230 2.705 -17.33285 -20.20819
0.230 2.880 -20.40155 -24.78384
0.230 3.054 -26.46516 -35.10946
0.230 3.229 -39.52646 -29.19566
