0.026 0.785 -7.79293 -7.72445
0.026 2.356 -7.79526 -7.72666
0.026 3.927 -10.27949 -10.15780
0.026 5.498 -10.27723 -10.15530
0.051 0.393 -7.81114 -7.75290
0.051 1.178 -6.22733 -6.17999
0.051 1.964 -6.22973 -6.18234
0.051 2.749 -7.81695 -7.75888
0.051 3.534 -10.50803 -10.39218
0.051 4.320 -12.94393 -12.74314
0.051 5.105 -12.94117 -12.74021
0.051 5.891 -10.50174 -10.38581
0.077 0.262 -7.97893 -7.93656
0.077 0.785 -6.03979 -6.00709
0.077 1.309 -5.03655 -4.99534
0.077 1.833 -5.03900 -4.99785
0.077 2.356 -6.04642 -6.01372
0.077 2.880 -7.98818 -7.94599
0.077 3.403 -10.71764 -10.61695
0.077 3.927 -13.85631 -13.64063
0.077 4.451 -16.29156 -15.95624
0.077 4.974 -16.28834 -15.95284
0.077 5.498 -13.84830 -13.63220
0.077 6.021 -10.70776 -10.60676
0.102 0.196 -8.23517 -8.21559
0.102 0.589 -6.16610 -6.15498
0.102 0.982 -4.76850 -4.74000
0.102 1.374 -4.06240 -4.01663
0.102 1.767 -4.06467 -4.01902
0.102 2.160 -4.77534 -4.74679
0.102 2.553 -6.17640 -6.16528
0.102 2.945 -8.24754 -8.22818
0.102 3.338 -10.98927 -10.91123
0.102 3.731 -14.39906 -14.19334
0.102 4.123 -18.23393 -17.82146
0.102 4.516 -21.28828 -20.65182
0.102 4.909 -21.28424 -20.64749
0.102 5.301 -18.22443 -17.81124
0.102 5.694 -14.38717 -14.18075
0.102 6.087 -10.97669 -10.89812
0.128 0.157 -8.57450 -8.58525
0.128 0.471 -6.44358 -6.46165
0.128 0.785 -4.85352 -4.84790
0.128 1.100 -3.78845 -3.75036
0.128 1.414 -3.25426 -3.19406
0.128 1.728 -3.25667 -3.19655
0.128 2.042 -3.79556 -3.75745
0.128 2.356 -4.86458 -4.85914
0.128 2.670 -6.45803 -6.47617
0.128 2.985 -8.59044 -8.60151
0.128 3.299 -11.33686 -11.28930
0.128 3.613 -14.87232 -14.69060
0.128 3.927 -19.51716 -19.07116
0.128 4.241 -25.65515 -24.63230
0.128 4.555 -32.34731 -30.12633
0.128 4.870 -32.33548 -30.11522
0.128 5.184 -25.63686 -24.61309
0.128 5.498 -19.49934 -19.05209
0.128 5.812 -14.85618 -14.67348
0.128 6.126 -11.31981 -11.27157
0.153 0.131 -8.99848 -9.04810
0.153 0.393 -6.83237 -6.88820
0.153 0.654 -5.13237 -5.15975
0.153 0.916 -3.86028 -3.84325
0.153 1.178 -3.01028 -2.95109
0.153 1.440 -2.58527 -2.50083
0.153 1.702 -2.58771 -2.50328
0.153 1.964 -3.01759 -2.95836
0.153 2.225 -3.87183 -3.85496
0.153 2.487 -5.14748 -5.17509
0.153 2.749 -6.85026 -6.90631
0.153 3.011 -9.01812 -9.06816
0.153 3.272 -11.76525 -11.75670
0.153 3.534 -15.36694 -15.22039
0.153 3.796 -20.50101 -20.05205
0.153 4.058 -29.61161 -28.09195
0.153 4.320 -39.84375 -42.40501
0.153 4.582 -29.74936 -31.23476
0.153 4.843 -29.75525 -31.24384
0.153 5.105 -39.90699 -42.45409
0.153 5.367 -29.57070 -28.05056
0.153 5.629 -20.47587 -20.02510
0.153 5.891 -15.34486 -15.19724
0.153 6.152 -11.74437 -11.73513
0.179 0.112 -9.51122 -9.60922
0.179 0.337 -7.32230 -7.42522
0.179 0.561 -5.55127 -5.62187
0.179 0.785 -4.14596 -4.16278
0.179 1.010 -3.09235 -3.05020
0.179 1.234 -2.38951 -2.29834
0.179 1.459 -2.03901 -1.92019
0.179 1.683 -2.04153 -1.92261
0.179 1.907 -2.39694 -2.30574
