0.026 0.785 -0.04530 -0.04529
0.026 2.356 -0.04547 -0.04542
0.026 3.927 -0.04531 -0.04530
0.026 5.498 -0.04546 -0.04545
0.051 0.393 -0.17531 -0.18784
0.051 1.178 -0.18779 -0.17529
0.051 1.964 -0.18826 -0.17575
0.051 2.749 -0.17573 -0.18829
0.051 3.534 -0.17532 -0.18782
0.051 4.320 -0.18787 -0.17528
0.051 5.105 -0.18826 -0.17573
0.051 5.891 -0.17573 -0.18829
0.077 0.262 -0.39332 -0.42784
0.077 0.785 -0.40866 -0.40864
0.077 1.309 -0.42786 -0.39341
0.077 1.833 -0.42855 -0.39406
0.077 2.356 -0.41005 -0.41008
0.077 2.880 -0.39408 -0.42859
0.077 3.403 -0.39343 -0.42789
0.077 3.927 -0.40867 -0.40863
0.077 4.451 -0.42791 -0.39340
0.077 4.974 -0.42861 -0.39404
0.077 5.498 -0.41006 -0.41003
0.077 6.021 -0.39407 -0.42859
0.102 0.196 -0.70266 -0.76822
0.102 0.589 -0.71622 -0.74335
0.102 0.982 -0.74338 -0.71627
0.102 1.374 -0.76814 -0.70266
0.102 1.767 -0.76919 -0.70367
0.102 2.160 -0.74576 -0.71861
0.102 2.553 -0.71866 -0.74580
0.102 2.945 -0.70367 -0.76918
0.102 3.338 -0.70267 -0.76826
0.102 3.731 -0.71631 -0.74345
0.102 4.123 -0.74347 -0.71626
0.102 4.516 -0.76827 -0.70265
0.102 4.909 -0.76917 -0.70365
0.102 5.301 -0.74575 -0.71856
0.102 5.694 -0.71857 -0.74570
0.102 6.087 -0.70356 -0.76917
0.128 0.157 -1.10709 -1.21272
0.128 0.471 -1.11656 -1.18187
0.128 0.785 -1.14286 -1.14287
0.128 1.100 -1.18187 -1.11660
0.128 1.414 -1.21273 -1.10711
0.128 1.728 -1.21399 -1.10837
0.128 2.042 -1.18514 -1.11981
0.128 2.356 -1.14691 -1.14693
0.128 2.670 -1.11987 -1.18521
0.128 2.985 -1.10837 -1.21405
0.128 3.299 -1.10711 -1.21285
0.128 3.613 -1.11667 -1.18192
